\usepackage{filecontents}
%Exp(3*e^2x)
\begin{filecontents}{exp.dat}
1 22
2 164
3 1210
4 8943
\end{filecontents}
%Recip(100/x)
\begin{filecontents}{recip.dat}
1 100
2 50
3 33
4 25
5 20
6 12.5
\end{filecontents}
%Poly(-7.26*x^4+57.4*x^3-142.94*x^2+294.53*x-109)
\begin{filecontents}{poly.dat}
1 93
2 251
3 450
4 597
5 428
6 -498
\end{filecontents}
%Log(5+20*log(x))
\begin{filecontents}{logt.dat}
2 11
3 14.5
4 17
5 19
6 20.5
\end{filecontents}
%Log(5+20*ln(x))
\begin{filecontents}{loge.dat}
2 19
3 27
4 33
5 37
6 41
\end{filecontents}
%Power(x^3)
\begin{filecontents}{power.dat}
2 8
3 27
4 64
5 125
6 216
7 343
8 512
9 729
10 1000
\end{filecontents}
%Gauss (e^(-x^2))
\begin{filecontents}{gauss.dat}
-10 3.72008E-44
-8 1.60381E-28
-6 2.31952E-16
-4 1.12535E-07
-2 0.018315639
2 0.018315639
4 1.12535E-07
6 2.31952E-16
8 1.60381E-28
10 3.72008E-44
\end{filecontents}
%Linear (2x+2)
\begin{filecontents}{linear.dat}
1 4
2 6
3 8
4 10
5 12
6 14
7 16
8 18
9 20
10 22
\end{filecontents}
%Linear (2x 3x)
\begin{filecontents}{linearA.dat}
1 2 3
2 4 6
3 6 9
4 8 12
5 10 15
6 12 18
7 14 21
8 16 24
9 18 27
10 20 30
\end{filecontents}
%King (sqrt(5+4*V^0.5))
\begin{filecontents}{king.dat}
2 3.264483765
3 3.453723097
4 3.605551275
5 3.734202982
6 3.846811533
7 3.947531538
8 4.039023211
9 4.123105626
10 4.20108446
\end{filecontents}

\endinput
